name,slug, years,date_of_information,ranking,region
"Kazakhstan","kazakhstan","31.7","2023",117,"Central Asia"
"Suriname","suriname","31.6","2023",118,"South America"
"Malaysia","malaysia","31.4","2023",119,"East and Southeast Asia"
"Maldives","maldives","31.3","2023",120,"South Asia"
"Paraguay","paraguay","31.3","2023",121,"South America"
"Fiji","fiji","31.2","2023",122,"Australia and Oceania"
"Indonesia","indonesia","31.2","2023",123,"East and Southeast Asia"
"Mongolia","mongolia","31.2","2023",124,"East and Southeast Asia"
"Panama","panama","31.2","2023",125,"Central America and the Caribbean"
"Venezuela","venezuela","30.8","2023",126,"South America"
"Turkmenistan","turkmenistan","30.7","2023",127,"Central Asia"
"Mexico","mexico","30.6","2023",128,"North America"
"Jamaica","jamaica","30.5","2023",129,"Central America and the Caribbean"
"Burma","burma","30.4","2023",130,"East and Southeast Asia"
"Bahamas, The","bahamas-the","30.2","2023",131,"Central America and the Caribbean"
"Bhutan","bhutan","30.2","2023",132,"South Asia"
"Morocco","morocco","30.2","2023",133,"Africa"
"Guam","guam","30.1","2023",134,"Australia and Oceania"
"South Africa","south-africa","30.1","2023",135,"Africa"
"Peru","peru","30.1","2023",136,"South America"
"Israel","israel","30.1","2023",137,"Middle East"
"Kuwait","kuwait","30.1","2023",138,"Middle East"
"India","india","29.5","2023",139,"South Asia"
"American Samoa","american-samoa","29.4","2023",140,"Australia and Oceania"
"El Salvador","el-salvador","29.2","2023",141,"Central America and the Caribbean"
"Bangladesh","bangladesh","29.2","2023",142,"South Asia"
"Algeria","algeria","28.9","2023",143,"Africa"
"Dominican Republic","dominican-republic","28.9","2023",144,"Central America and the Caribbean"
"Uzbekistan","uzbekistan","28.7","2023",145,"Central Asia"
"Nicaragua","nicaragua","28.5","2023",146,"Central America and the Caribbean"
"Cabo Verde","cabo-verde","28.3","2023",147,"Africa"
"Kyrgyzstan","kyrgyzstan","28.1","2023",148,"Central Asia"
"Guyana","guyana","27.9","2023",149,"South America"
"Micronesia, Federated States of","micronesia-federated-states-of","27.8","2023",150,"Australia and Oceania"
"Ecuador","ecuador","27.7","2023",151,"South America"
"Cambodia","cambodia","27.6","2023",152,"East and Southeast Asia"
"Tuvalu","tuvalu","27.5","2023",153,"Australia and Oceania"
"Nauru","nauru","27.5","2023",154,"Australia and Oceania"
"Oman","oman","27.1","2023",155,"Middle East"
"Nepal","nepal","27.1","2023",156,"South Asia"
"Kiribati","kiribati","26.9","2023",157,"Australia and Oceania"
"Samoa","samoa","26.9","2023",158,"Australia and Oceania"
"Botswana","botswana","26.8","2023",159,"Africa"
"Belize","belize","26.4","2023",160,"Central America and the Caribbean"
"Bolivia","bolivia","26.2","2023",161,"South America"
"Libya","libya","26.1","2023",162,"Africa"
"Djibouti","djibouti","26","2023",163,"Africa"
"Tonga","tonga","25.4","2023",164,"Australia and Oceania"
"Philippines","philippines","25.4","2023",165,"East and Southeast Asia"
"Honduras","honduras","25.3","2023",166,"Central America and the Caribbean"
"Marshall Islands","marshall-islands","25.1","2023",167,"Australia and Oceania"
"Laos","laos","25","2023",168,"East and Southeast Asia"
"Solomon Islands","solomon-islands","24.8","2023",169,"Australia and Oceania"
"Haiti","haiti","24.7","2023",170,"Central America and the Caribbean"
"Jordan","jordan","24.6","2023",171,"Middle East"
"Guatemala","guatemala","24.4","2023",172,"Central America and the Caribbean"
"Eswatini","eswatini","24.4","2023",173,"Africa"
"Vanuatu","vanuatu","24.2","2023",174,"Australia and Oceania"
"Egypt","egypt","24.1","2023",175,"Africa"
"Syria","syria","23.9","2023",176,"Middle East"
"Lesotho","lesotho","23.7","2023",177,"Africa"
"Pakistan","pakistan","22.7","2023",178,"South Asia"
"Tajikistan","tajikistan","22.7","2023",179,"Central Asia"
"Namibia","namibia","22.5","2023",180,"Africa"
"Comoros","comoros","22.3","2023",181,"Africa"
"Iraq","iraq","22.1","2023",182,"Middle East"
"Mauritania","mauritania","21.9","2023",183,"Africa"
"Equatorial Guinea","equatorial-guinea","21.9","2023",184,"Africa"
"Gabon","gabon","21.8","2023",185,"Africa"
"West Bank","west-bank","21.7","2023",186,"Middle East"
"Papua New Guinea","papua-new-guinea","21.6","2023",187,"East and Southeast Asia"
"Yemen","yemen","21.6","2023",188,"Middle East"
"Ghana","ghana","21.3","2023",189,"Africa"
"Eritrea","eritrea","21","2023",190,"Africa"
"Zimbabwe","zimbabwe","21","2023",191,"Africa"
"Cote d'Ivoire","cote-divoire","21","2023",192,"Africa"
"Madagascar","madagascar","21","2023",193,"Africa"
"Kenya","kenya","20.9","2023",194,"Africa"
"Rwanda","rwanda","20.5","2023",195,"Africa"
"Togo","togo","20.5","2023",196,"Africa"
"Congo, Republic of the","congo-republic-of-the","20.5","2023",197,"Africa"
"Sao Tome and Principe","sao-tome-and-principe","20.4","2023",198,"Africa"
"Timor-Leste","timor-leste","20.3","2023",199,"East and Southeast Asia"
"Central African Republic","central-african-republic","20.2","2023",200,"Africa"
"Ethiopia","ethiopia","20.2","2023",201,"Africa"
"Malawi","malawi","20","2023",202,"Africa"
"Afghanistan","afghanistan","19.9","2023",203,"South Asia"
"Gambia, The","gambia-the","19.9","2023",204,"Africa"
"Liberia","liberia","19.7","2023",205,"Africa"
"Guinea","guinea","19.3","2023",206,"Africa"
"Nigeria","nigeria","19.2","2023",207,"Africa"
"Sierra Leone","sierra-leone","19.2","2023",208,"Africa"
"Gaza Strip","gaza-strip","19.2","2023",209,"Middle East"
"Sudan","sudan","19.1","2023",210,"Africa"
"Somalia","somalia","19","2023",211,"Africa"
"Senegal","senegal","19","2023",212,"Africa"
"Tanzania","tanzania","18.9","2023",213,"Africa"
"Cameroon","cameroon","18.8","2023",214,"Africa"
"South Sudan","south-sudan","18.7","2023",215,"Africa"
"Burkina Faso","burkina-faso","18.5","2023",216,"Africa"
"Guinea-Bissau","guinea-bissau","18.3","2023",217,"Africa"
"Zambia","zambia","18.2","2023",218,"Africa"
"Burundi","burundi","18.2","2023",219,"Africa"
"Mozambique","mozambique","17.2","2023",220,"Africa"
"Benin","benin","17.1","2023",221,"Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","16.8","2023",222,"Africa"
"Chad","chad","16.5","2023",223,"Africa"
"Mali","mali","16.3","2023",224,"Africa"
"Angola","angola","16.2","2023",225,"Africa"
"Uganda","uganda","16.1","2023",226,"Africa"
"Niger","niger","15.1","2023",227,"Africa"
